"RT","ISI","Trial","Participant","Session","Threshold","MedianComputed","Feedback","Feedback_N_Positive","Feedback_N_Negative"
0.367,1123,26,"S001","S1",337,337,"Positive",25,0
0.267,2992,27,"S001","S1",335,335,"Positive",26,0
0.317,2521,28,"S001","S1",334,334,"Positive",27,0
0.283,1557,29,"S001","S1",332,332,"Positive",28,0
0.283,2864,30,"S001","S1",331,331,"Positive",29,0
0.3,2153,31,"S001","S1",330,330,"Positive",30,0
0.283,2363,32,"S001","S1",328,328,"Positive",31,0
0.3,3184,33,"S001","S1",327,327,"Positive",32,0
0.3,593,34,"S001","S1",327,327,"Positive",33,0
0.283,1499,35,"S001","S1",325,325,"Positive",34,0
0.283,2339,36,"S001","S1",324,324,"Positive",35,0
0.35,3154,37,"S001","S1",325,325,"Positive",36,0
0.317,2868,38,"S001","S1",325,325,"Positive",37,0
0.333,680,39,"S001","S1",325,325,"Positive",38,0
0.383,3416,40,"S001","S1",326,326,"Positive",39,0
0.3,1431,41,"S001","S1",326,326,"Positive",40,0
0.3,1222,42,"S001","S1",325,325,"Positive",41,0
0.283,1481,43,"S001","S1",324,324,"Positive",42,0
0.283,2236,44,"S001","S1",323,323,"Positive",43,0
0.283,1474,45,"S001","S1",322,322,"Positive",44,0
0.267,3017,46,"S001","S1",321,321,"Positive",45,0
0.283,3476,47,"S001","S1",320,320,"Positive",46,0
0.4,477,48,"S001","S1",322,322,"Positive",47,0
0.317,1461,49,"S001","S1",322,322,"Positive",48,0
0.3,2249,50,"S001","S1",321,321,"Positive",49,0
0.383,421,51,"S001","S1",323,323,"Positive",50,0
0.283,1289,52,"S001","S1",322,322,"Positive",51,0
0.3,2518,53,"S001","S1",321,321,"Positive",52,0
0.283,2432,54,"S001","S1",321,321,"Positive",53,0
0.266,2805,55,"S001","S1",320,320,"Positive",54,0
0.283,1930,56,"S001","S1",319,319,"Positive",55,0
0.367,912,57,"S001","S1",320,320,"Positive",56,0
0.3,2749,58,"S001","S1",320,320,"Positive",57,0
0.333,2519,59,"S001","S1",320,320,"Positive",58,0
0.317,2185,60,"S001","S1",320,320,"Positive",59,0
0.317,2511,61,"S001","S1",320,320,"Positive",60,0
0.333,2621,62,"S001","S1",320,320,"Positive",61,0
0.333,313,63,"S001","S1",320,320,"Positive",62,0
0.3,2191,64,"S001","S1",320,320,"Positive",63,0
0.317,2741,65,"S001","S1",320,320,"Positive",64,0
0.3,2755,66,"S001","S1",319,319,"Positive",65,0
0.333,1421,67,"S001","S1",320,320,"Positive",66,0
0.45,1510,68,"S001","S1",322,322,"Positive",67,0
0.317,844,69,"S001","S1",322,322,"Positive",68,0
0.317,517,70,"S001","S1",321,321,"Positive",69,0
0.283,3195,71,"S001","S1",321,321,"Positive",70,0
0.35,2426,72,"S001","S1",321,321,"Positive",71,0
0.267,3168,73,"S001","S1",321,321,"Positive",72,0
0.3,2172,74,"S001","S1",320,320,"Positive",73,0
0.333,2367,75,"S001","S1",320,320,"Positive",74,0
0.333,929,77,"S001","S1",318,318,"Positive",76,0
0.384,1445,78,"S001","S1",318,318,"Positive",77,0
0.317,1179,79,"S001","S1",318,318,"Positive",78,0
0.3,1081,80,"S001","S1",318,318,"Positive",79,0
0.283,1525,81,"S001","S1",318,318,"Positive",80,0
0.3,2559,82,"S001","S1",317,317,"Positive",81,0
0.317,1549,83,"S001","S1",317,317,"Positive",82,0
0.317,1055,84,"S001","S1",317,317,"Positive",83,0
0.433,302,85,"S001","S1",319,319,"Positive",84,0
0.3,2258,86,"S001","S1",319,319,"Positive",85,0
0.317,1216,87,"S001","S1",319,319,"Positive",86,0
0.283,1857,88,"S001","S1",318,318,"Positive",87,0
0.284,3082,89,"S001","S1",318,318,"Positive",88,0
0.333,689,90,"S001","S1",318,318,"Positive",89,0
0.267,1349,91,"S001","S1",317,317,"Positive",90,0
0.283,1872,92,"S001","S1",317,317,"Positive",91,0
0.283,3125,93,"S001","S1",317,317,"Positive",92,0
0.333,727,94,"S001","S1",317,317,"Positive",93,0
0.3,3202,95,"S001","S1",317,317,"Positive",94,0
0.383,708,96,"S001","S1",317,317,"Positive",95,0
0.45,527,97,"S001","S1",319,319,"Positive",96,0
0.35,374,98,"S001","S1",319,319,"Positive",97,0
0.3,2675,99,"S001","S1",319,319,"Positive",98,0
0.35,111,100,"S001","S1",319,319,"Positive",99,0
0.367,2176,101,"S001","S1",320,320,"Positive",100,0
0.3,610,102,"S001","S1",319,319,"Positive",101,0
0.3,2155,103,"S001","S1",319,319,"Positive",102,0
0.3,628,104,"S001","S1",319,319,"Positive",103,0
0.3,941,105,"S001","S1",319,319,"Positive",104,0
0.267,2149,106,"S001","S1",318,318,"Positive",105,0
0.267,1036,107,"S001","S1",318,318,"Positive",106,0
0.267,1147,108,"S001","S1",317,317,"Positive",107,0
0.267,670,109,"S001","S1",317,317,"Positive",108,0
0.283,1344,110,"S001","S1",317,317,"Positive",109,0
0.3,834,111,"S001","S1",317,317,"Positive",110,0
0.317,551,112,"S001","S1",317,317,"Positive",111,0
0.283,852,113,"S001","S1",316,316,"Positive",112,0
0.333,124,114,"S001","S1",316,316,"Positive",113,0
0.367,323,115,"S001","S1",317,317,"Positive",114,0
0.317,3096,116,"S001","S1",317,317,"Positive",115,0
0.3,1280,117,"S001","S1",317,317,"Positive",116,0
0.3,1547,118,"S001","S1",317,317,"Positive",117,0
0.3,2193,119,"S001","S1",316,316,"Positive",118,0
0.317,448,120,"S001","S1",316,316,"Positive",119,0
0.317,1150,1,"S001","S2",NA,317,"Positive",0,0
0.3,557,2,"S001","S2",308,308,"Positive",1,0
0.3,3454,3,"S001","S2",305,305,"Positive",2,0
0.284,3417,4,"S001","S2",300,300,"Positive",3,0
0.3,368,5,"S001","S2",300,300,"Positive",4,0
0.4,498,6,"S001","S2",317,317,"Positive",5,0
0.3,1577,7,"S001","S2",314,314,"Positive",6,0
0.283,2665,8,"S001","S2",310,310,"Positive",7,0
0.283,1668,9,"S001","S2",307,307,"Positive",8,0
0.267,2776,10,"S001","S2",303,303,"Positive",9,0
0.283,1410,11,"S001","S2",302,302,"Positive",10,0
0.267,3065,12,"S001","S2",299,299,"Positive",11,0
0.3,3457,13,"S001","S2",299,299,"Positive",12,0
0.283,2563,14,"S001","S2",298,298,"Positive",13,0
0.3,2980,15,"S001","S2",298,298,"Positive",14,0
0.283,2275,16,"S001","S2",297,297,"Positive",15,0
0.35,774,17,"S001","S2",300,300,"Positive",16,0
0.3,3150,18,"S001","S2",300,300,"Positive",17,0
0.333,538,19,"S001","S2",302,302,"Positive",18,0
0.283,3482,20,"S001","S2",301,301,"Positive",19,0
0.3,1803,21,"S001","S2",301,301,"Positive",20,0
0.3,1928,22,"S001","S2",301,301,"Positive",21,0
0.317,1156,23,"S001","S2",301,301,"Positive",22,0
0.333,1408,24,"S001","S2",303,303,"Positive",23,0
0.317,2551,25,"S001","S2",303,303,"Positive",24,0
0.284,2986,26,"S001","S2",303,303,"Positive",25,0
0.316,710,27,"S001","S2",303,303,"Positive",26,0
0.317,1109,28,"S001","S2",304,304,"Positive",27,0
0.267,2701,29,"S001","S2",302,302,"Positive",28,0
0.283,1993,30,"S001","S2",302,302,"Positive",29,0
0.317,2470,31,"S001","S2",302,302,"Positive",30,0
0.333,794,32,"S001","S2",303,303,"Positive",31,0
0.366,317,33,"S001","S2",305,305,"Positive",32,0
0.317,250,34,"S001","S2",305,305,"Positive",33,0
0.3,200,35,"S001","S2",305,305,"Positive",34,0
0.333,1104,36,"S001","S2",306,306,"Positive",35,0
0.333,123,37,"S001","S2",307,307,"Positive",36,0
0.317,2229,38,"S001","S2",307,307,"Positive",37,0
0.267,2307,39,"S001","S2",306,306,"Positive",38,0
0.367,204,40,"S001","S2",307,307,"Positive",39,0
0.3,2865,41,"S001","S2",307,307,"Positive",40,0
0.267,2825,42,"S001","S2",306,306,"Positive",41,0
0.317,3167,43,"S001","S2",307,307,"Positive",42,0
0.333,376,44,"S001","S2",307,307,"Positive",43,0
0.3,2827,45,"S001","S2",307,307,"Positive",44,0
0.283,2338,46,"S001","S2",307,307,"Positive",45,0
0.417,1227,47,"S001","S2",309,309,"Positive",46,0
0.283,962,48,"S001","S2",308,308,"Positive",47,0
0.4,275,49,"S001","S2",310,310,"Positive",48,0
0.35,1301,50,"S001","S2",311,311,"Positive",49,0
0.3,389,51,"S001","S2",311,311,"Positive",50,0
0.283,3364,52,"S001","S2",310,310,"Positive",51,0
0.333,2504,53,"S001","S2",311,311,"Positive",52,0
0.3,1038,54,"S001","S2",310,310,"Positive",53,0
0.317,1573,55,"S001","S2",311,311,"Positive",54,0
0.283,2185,56,"S001","S2",310,310,"Positive",55,0
0.267,1471,57,"S001","S2",309,309,"Positive",56,0
0.267,3230,58,"S001","S2",309,309,"Positive",57,0
0.283,1557,59,"S001","S2",308,308,"Positive",58,0
0.283,2402,60,"S001","S2",308,308,"Positive",59,0
0.25,2033,61,"S001","S2",307,307,"Positive",60,0
0.333,738,62,"S001","S2",307,307,"Positive",61,0
0.3,2088,63,"S001","S2",307,307,"Positive",62,0
0.267,1835,64,"S001","S2",306,306,"Positive",63,0
0.283,1860,65,"S001","S2",306,306,"Positive",64,0
0.25,3054,66,"S001","S2",305,305,"Positive",65,0
0.25,3235,67,"S001","S2",304,304,"Positive",66,0
0.4,185,68,"S001","S2",306,306,"Positive",67,0
0.25,561,69,"S001","S2",305,305,"Positive",68,0
0.267,809,70,"S001","S2",305,305,"Positive",69,0
0.3,3061,71,"S001","S2",304,304,"Positive",70,0
0.283,1117,72,"S001","S2",304,304,"Positive",71,0
0.284,3031,73,"S001","S2",304,304,"Positive",72,0
0.35,866,74,"S001","S2",305,305,"Positive",73,0
0.267,2166,75,"S001","S2",304,304,"Positive",74,0
0.383,436,76,"S001","S2",305,305,"Positive",75,0
0.317,364,77,"S001","S2",305,305,"Positive",76,0
0.25,2856,78,"S001","S2",304,304,"Positive",77,0
0.3,974,79,"S001","S2",304,304,"Positive",78,0
0.3,1157,80,"S001","S2",304,304,"Positive",79,0
0.35,448,81,"S001","S2",305,305,"Positive",80,0
0.317,934,82,"S001","S2",305,305,"Positive",81,0
0.283,304,83,"S001","S2",305,305,"Positive",82,0
0.467,225,84,"S001","S2",307,307,"Positive",83,0
0.267,1261,85,"S001","S2",306,306,"Positive",84,0
0.367,2655,86,"S001","S2",307,307,"Positive",85,0
0.3,1768,87,"S001","S2",307,307,"Positive",86,0
0.317,1372,88,"S001","S2",307,307,"Positive",87,0
0.316,1552,89,"S001","S2",307,307,"Positive",88,0
0.317,1946,90,"S001","S2",307,307,"Positive",89,0
0.383,3419,91,"S001","S2",308,308,"Positive",90,0
0.317,2630,92,"S001","S2",308,308,"Positive",91,0
0.4,1350,93,"S001","S2",309,309,"Positive",92,0
0.367,438,94,"S001","S2",310,310,"Positive",93,0
0.283,670,95,"S001","S2",309,309,"Positive",94,0
0.333,2203,96,"S001","S2",310,310,"Positive",95,0
0.517,659,97,"S001","S2",312,312,"Positive",96,0
0.367,1572,98,"S001","S2",312,312,"Positive",97,0
0.333,2707,99,"S001","S2",313,313,"Positive",98,0
0.467,303,100,"S001","S2",314,314,"Positive",99,0
0.283,1627,101,"S001","S2",314,314,"Positive",100,0
0.417,534,102,"S001","S2",315,315,"Positive",101,0
0.3,2888,103,"S001","S2",315,315,"Positive",102,0
0.5,382,104,"S001","S2",316,316,"Positive",103,0
0.317,1353,105,"S001","S2",316,316,"Positive",104,0
0.433,130,106,"S001","S2",318,318,"Positive",105,0
0.35,928,107,"S001","S2",318,318,"Positive",106,0
0.367,1535,108,"S001","S2",318,318,"Positive",107,0
0.367,2165,109,"S001","S2",319,319,"Positive",108,0
0.333,1531,110,"S001","S2",319,319,"Positive",109,0
0.3,2173,111,"S001","S2",319,319,"Positive",110,0
0.317,3445,112,"S001","S2",319,319,"Positive",111,0
0.417,1430,113,"S001","S2",320,320,"Positive",112,0
0.383,198,114,"S001","S2",320,320,"Positive",113,0
0.283,1458,115,"S001","S2",320,320,"Positive",114,0
0.4,892,116,"S001","S2",321,321,"Positive",115,0
0.283,2642,117,"S001","S2",320,320,"Positive",116,0
0.383,1840,118,"S001","S2",321,321,"Positive",117,0
0.383,3331,119,"S001","S2",321,321,"Positive",118,0
0.3,1519,120,"S001","S2",321,321,"Positive",119,0
