"RT","ISI","Trial","Participant","Session","Threshold","MedianComputed","Feedback","Feedback_N_Positive","Feedback_N_Negative"
0.317,2.699,13,"S001","S1",0.354,0.354,"Positive",0,1
0.3,3.213,14,"S001","S1",0.35,0.35,"Positive",1,0
0.333,0.763,15,"S001","S1",0.349,0.349,"Positive",2,0
0.317,1.937,16,"S001","S1",0.347,0.347,"Positive",3,0
0.334,3.346,17,"S001","S1",0.346,0.346,"Positive",4,0
0.267,2.607,18,"S001","S1",0.342,0.342,"Positive",5,0
0.483,0.228,19,"S001","S1",0.349,0.349,"Negative",6,0
0.367,1.019,20,"S001","S1",0.35,0.35,"Negative",0,1
0.3,2.815,21,"S001","S1",0.348,0.348,"Positive",0,2
0.3,1.134,22,"S001","S1",0.346,0.346,"Positive",1,0
0.283,0.569,23,"S001","S1",0.343,0.343,"Positive",2,0
0.267,0.737,24,"S001","S1",0.34,0.34,"Positive",3,0
0.25,3.088,25,"S001","S1",0.336,0.336,"Positive",4,0
0.367,1.123,26,"S001","S1",0.337,0.337,"Negative",5,0
0.267,2.992,27,"S001","S1",0.335,0.335,"Positive",0,1
0.317,2.521,28,"S001","S1",0.334,0.334,"Positive",1,0
0.283,1.557,29,"S001","S1",0.332,0.332,"Positive",2,0
0.283,2.864,30,"S001","S1",0.331,0.331,"Positive",3,0
0.3,2.153,31,"S001","S1",0.33,0.33,"Positive",4,0
0.283,2.363,32,"S001","S1",0.328,0.328,"Positive",5,0
0.3,3.184,33,"S001","S1",0.327,0.327,"Positive",6,0
0.3,0.593,34,"S001","S1",0.327,0.327,"Positive",7,0
0.283,1.499,35,"S001","S1",0.325,0.325,"Positive",8,0
0.283,2.339,36,"S001","S1",0.324,0.324,"Positive",9,0
0.35,3.154,37,"S001","S1",0.325,0.325,"Negative",10,0
0.317,2.868,38,"S001","S1",0.325,0.325,"Positive",0,1
0.333,0.68,39,"S001","S1",0.325,0.325,"Negative",1,0
0.383,3.416,40,"S001","S1",0.326,0.326,"Negative",0,1
0.3,1.431,41,"S001","S1",0.326,0.326,"Positive",0,2
0.3,1.222,42,"S001","S1",0.325,0.325,"Positive",1,0
0.283,1.481,43,"S001","S1",0.324,0.324,"Positive",2,0
0.283,2.236,44,"S001","S1",0.323,0.323,"Positive",3,0
0.283,1.474,45,"S001","S1",0.322,0.322,"Positive",4,0
0.267,3.017,46,"S001","S1",0.321,0.321,"Positive",5,0
0.283,3.476,47,"S001","S1",0.32,0.32,"Positive",6,0
0.4,0.477,48,"S001","S1",0.322,0.322,"Negative",7,0
0.317,1.461,49,"S001","S1",0.322,0.322,"Positive",0,1
0.3,2.249,50,"S001","S1",0.321,0.321,"Positive",1,0
0.383,0.421,51,"S001","S1",0.323,0.323,"Negative",2,0
0.283,1.289,52,"S001","S1",0.322,0.322,"Positive",0,1
0.3,2.518,53,"S001","S1",0.321,0.321,"Positive",1,0
0.283,2.432,54,"S001","S1",0.321,0.321,"Positive",2,0
0.266,2.805,55,"S001","S1",0.32,0.32,"Positive",3,0
0.283,1.93,56,"S001","S1",0.319,0.319,"Positive",4,0
0.367,0.912,57,"S001","S1",0.32,0.32,"Negative",5,0
0.3,2.749,58,"S001","S1",0.32,0.32,"Positive",0,1
0.333,2.519,59,"S001","S1",0.32,0.32,"Negative",1,0
0.317,2.185,60,"S001","S1",0.32,0.32,"Positive",0,1
0.317,2.511,61,"S001","S1",0.32,0.32,"Positive",1,0
0.333,2.621,62,"S001","S1",0.32,0.32,"Negative",2,0
0.333,0.313,63,"S001","S1",0.32,0.32,"Negative",0,1
0.3,2.191,64,"S001","S1",0.32,0.32,"Positive",0,2
0.317,2.741,65,"S001","S1",0.32,0.32,"Positive",1,0
0.3,2.755,66,"S001","S1",0.319,0.319,"Positive",2,0
0.333,1.421,67,"S001","S1",0.32,0.32,"Negative",3,0
0.45,1.51,68,"S001","S1",0.322,0.322,"Negative",0,1
0.317,0.844,69,"S001","S1",0.322,0.322,"Positive",0,2
0.317,0.517,70,"S001","S1",0.321,0.321,"Positive",1,0
0.283,3.195,71,"S001","S1",0.321,0.321,"Positive",2,0
0.35,2.426,72,"S001","S1",0.321,0.321,"Negative",3,0
0.267,3.168,73,"S001","S1",0.321,0.321,"Positive",0,1
0.3,2.172,74,"S001","S1",0.32,0.32,"Positive",1,0
0.333,2.367,75,"S001","S1",0.32,0.32,"Negative",2,0
0.083,2.547,76,"S001","S1",0.317,0.317,"Positive",0,1
0.333,0.929,77,"S001","S1",0.318,0.318,"Negative",1,0
0.384,1.445,78,"S001","S1",0.318,0.318,"Negative",0,1
0.317,1.179,79,"S001","S1",0.318,0.318,"Positive",0,2
0.3,1.081,80,"S001","S1",0.318,0.318,"Positive",1,0
0.283,1.525,81,"S001","S1",0.318,0.318,"Positive",2,0
0.3,2.559,82,"S001","S1",0.317,0.317,"Positive",3,0
0.317,1.549,83,"S001","S1",0.317,0.317,"Positive",4,0
